"code","iso","country","IFL.ind.1995","IFL.ind.1996","IFL.ind.1997","IFL.ind.1998","IFL.ind.1999","IFL.ind.2000","IFL.ind.2001","IFL.ind.2002","IFL.ind.2003","IFL.ind.2004","IFL.ind.2005","IFL.ind.2006","IFL.ind.2007","IFL.ind.2008","IFL.ind.2009","IFL.ind.2010","IFL.ind.2011","IFL.ind.2012","IFL.ind.2013","IFL.ind.2014","IFL.ind.2015","IFL.ind.2016","IFL.ind.2017","IFL.ind.2018","IFL.ind.2019","IFL.ind.2020","IFL.ind.2021","IFL.ind.2022","IFL.ind.2023","IFL.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,64.8,60.4,64.1,55.1,54.2,54.2,52.9,41.1,36.2,35.6,33.6,34.3,40.7,50.7,52.8,49.8,49.3,49.3,49.3
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",69,69,69,69,69,69,69,69,69,69,69,67,70.4,66.4,66.6,64.9,64.5,57.6,44.9,45.1,34.1,33.2,34.6,42.4,42.8,57,62.8,51.3,51.3,51.3
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,34.6,37.4,50.6,47.2,26.2,26.5,24.1,21.1,20.1,29.8,27.3,30.8,33.9,7.3,0,0,0,0,0
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
