"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020","RMS.ind.2021","RMS.ind.2022","RMS.ind.2023","RMS.ind.2024"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",90.2,59.1,26.7,0,0,0,0,0,0,16.4,64,98.4,100,100,100,100,91.6,83.2,85.1,88.5,95.2,100,100,100,100,100,100,100,100,100
12,"DZA","Algeria",39.3,37.7,36,34.7,33.8,32.9,31.6,30.9,29.9,29.2,28.4,27.1,25,22.6,21.1,20.8,22.1,25.7,31.5,38.7,46.2,52.4,56.8,58.6,58.2,58.2,58.2,58.2,58.2,58.2
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0,10.1,31.1,50,62.7,71.5,74.9,73.5,71.9,71.7,71,70.5,68.5,66.1,63,59.3,54.5,49.2,44.5,40.5,38.7,39,39.7,41.4,45.3,45.3,45.3,45.3,45.3,45.3
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",80.7,76.9,66.2,51.4,35.3,23.9,20.4,23.5,31.1,42,51.8,57.4,58.9,57.8,54.4,51.3,51.6,53.1,55.7,59.4,61.5,60.1,59,57.9,56.4,56.4,56.4,56.4,56.4,56.4
32,"ARG","Argentina",44.3,44.7,45.4,46.2,46.7,46.6,46.3,46,45.7,46.2,47.3,48.6,49.5,50.2,50.4,49.9,49.3,48.8,48.3,47.9,47.8,47.8,47.9,48,48.3,48.3,48.3,48.3,48.3,48.3
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
