"code","iso","country","HPE.ind.1995","HPE.ind.1996","HPE.ind.1997","HPE.ind.1998","HPE.ind.1999","HPE.ind.2000","HPE.ind.2001","HPE.ind.2002","HPE.ind.2003","HPE.ind.2004","HPE.ind.2005","HPE.ind.2006","HPE.ind.2007","HPE.ind.2008","HPE.ind.2009","HPE.ind.2010","HPE.ind.2011","HPE.ind.2012","HPE.ind.2013","HPE.ind.2014","HPE.ind.2015","HPE.ind.2016","HPE.ind.2017","HPE.ind.2018","HPE.ind.2019","HPE.ind.2020","HPE.ind.2021","HPE.ind.2022","HPE.ind.2023","HPE.ind.2024"
4,"AFG","Afghanistan",41.2,41.2,41.2,41.2,37.1,31.1,19.4,21,20.1,21.8,27.5,22.1,22.7,19.8,25,20,17.1,25.4,22.8,23.5,22.9,22.5,22.3,18.3,24.7,25.5,19.4,18.8,18.8,18.8
8,"ALB","Albania",30.5,30.5,30.5,30.5,31.9,26.9,29.2,27.8,25.4,28.9,30.3,25.6,25.7,28.6,30.1,32.4,24.9,30.8,32.8,36.2,31.7,36.7,34.8,33.4,34.6,38.6,38.1,36.6,36.6,36.6
12,"DZA","Algeria",48.1,48.1,48.1,48.1,43.4,42.8,42.1,41.5,41.1,42.5,42.5,42.6,39.1,42.2,42.7,42.1,45.1,44.3,46.8,44.4,44.5,42.9,46.2,44.4,44.5,46.2,42.3,37.1,37.1,37.1
20,"AND","Andorra",50.4,50.4,50.4,50.4,52.9,46.5,46.8,46.7,43.6,45.4,48.5,45.8,48.2,52.6,48.7,50.7,51.3,50.8,58.6,59.9,52.9,62.1,55.6,58.4,59,62.4,59.1,49.3,49.3,49.3
24,"AGO","Angola",17.5,17.5,17.5,17.5,24.9,18.6,10,14.5,16.3,15.1,10.4,21.5,14.2,12.2,16.1,8.1,14.5,15.8,14.4,20.9,17,17.8,23.7,20.1,15.8,21.2,23.6,15.4,15.4,15.4
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",83.9,83.9,83.9,83.9,84.3,82.4,84.3,84.7,89,91.5,86.4,87.5,84.2,91.8,83.8,82.2,89.5,83.5,93.9,96.5,83.9,86.8,85.9,88.4,90.4,89.5,86.7,93.5,93.5,93.5
32,"ARG","Argentina",46.9,46.9,46.9,46.9,44,46.2,45.6,43.9,43,45.9,47.4,45.6,42.4,43.6,45.5,47.6,44.6,48.8,47.9,51.2,50.1,49.6,52.1,51.3,48.1,44.2,50,44.6,44.6,44.6
51,"ARM","Armenia",32.9,32.9,32.9,32.9,32.4,26.9,26.3,23.9,23.8,24,22.2,22.3,24.4,15.8,23.5,16,23.8,24.3,22.9,20.6,21,25.3,22.8,21.9,19.5,22.6,17.6,19.3,19.3,19.3
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",94.8,94.8,94.8,94.8,93.7,94.6,89,85.9,81.1,91.2,92.5,85.4,91.4,93.9,84,95.1,93.7,94.1,90,89.7,90.8,90.9,91,89.4,72.4,84.7,93.6,94.9,94.9,94.9
40,"AUT","Austria",27.6,27.6,27.6,27.6,28.6,29,26.4,21.8,22.3,28,22.7,20.7,32.9,32.2,30.2,27.9,27.5,34.2,30.8,36,36.5,38.8,38.3,35.4,44.6,47.5,45.6,46.1,46.1,46.1
