"code","iso","country","LUF.ind.1995","LUF.ind.1996","LUF.ind.1997","LUF.ind.1998","LUF.ind.1999","LUF.ind.2000","LUF.ind.2001","LUF.ind.2002","LUF.ind.2003","LUF.ind.2004","LUF.ind.2005","LUF.ind.2006","LUF.ind.2007","LUF.ind.2008","LUF.ind.2009","LUF.ind.2010","LUF.ind.2011","LUF.ind.2012","LUF.ind.2013","LUF.ind.2014","LUF.ind.2015","LUF.ind.2016","LUF.ind.2017","LUF.ind.2018","LUF.ind.2019","LUF.ind.2020","LUF.ind.2021","LUF.ind.2022","LUF.ind.2023","LUF.ind.2024"
4,"AFG","Afghanistan",44.1,44.1,44.1,44.1,44.1,44.3,44.4,42.7,41.2,40,39.2,38.9,39.4,39.3,39.2,39.2,39.4,41,42.2,43.1,43.7,44.1,44.4,44.6,44.6,44.6,44.5,44.4,44.4,44.4
8,"ALB","Albania",50.5,50.5,50.5,50.5,50.5,50.7,50.8,51,51.1,51.1,51,50.9,50.8,50.5,50.3,50.2,50,49.9,49.7,49.6,49.6,49.5,49.6,49.8,49.9,49.9,50,50,50,50
12,"DZA","Algeria",45.8,45.8,45.8,45.8,45.8,46.1,46.8,47.1,47.3,47.4,47.7,48,48.2,48.3,48.5,48.6,48.8,49.1,49.3,49.5,49.7,49.8,49.9,49.9,49.9,49.9,49.8,49.7,49.7,49.7
20,"AND","Andorra",49.3,49.3,49.3,49.3,49.3,49.2,49.2,49.2,49.3,49.4,49.5,49.5,49.6,49.7,49.7,49.8,49.8,49.9,50,50,50.1,50.1,50.1,50.2,50.2,50.2,50.2,50.2,50.2,50.2
24,"AGO","Angola",49.5,49.5,49.5,49.5,49.5,49.5,49.4,49.3,49.2,49.1,49,48.9,48.8,48.6,48.4,48.3,48.1,48,47.9,47.8,47.8,47.7,47.7,47.7,47.8,47.9,48,48,48,48
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.6,50.6,50.6,50.6,50.5,50.5,50.4,50.4,50.4,50.4,50.3,50.3,50.3,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2
32,"ARG","Argentina",48.3,48.3,48.3,48.3,48.3,48.2,48.2,48,47.7,47.4,47,46.6,46.3,46.1,45.7,45.4,45.1,45,45.1,45.4,45.7,46.1,46.4,46.7,47.2,47.7,48.1,48.5,48.5,48.5
51,"ARM","Armenia",46.3,46.3,46.3,46.3,46.3,46.1,45.9,45.5,45.3,44.9,44.3,43.9,43.6,43.4,43.1,42.9,42.9,43.1,43.3,43.7,44.6,45.2,45.6,45.9,46.2,46.5,46.7,46.9,46.9,46.9
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",48.4,48.4,48.4,48.4,48.4,48.1,48,48,47.8,47.7,47.8,47.9,48,47.9,48,47.8,47.7,47.6,47.7,47.9,48,47.9,48,48.3,48.5,49,49.3,49.5,49.5,49.5
40,"AUT","Austria",51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.7,51.7,51.7,51.7,51.6,51.6,51.6,51.6,51.5,51.5,51.5,51.5,51.4,51.4,51.4,51.5,51.5,51.5,51.4,51.4,51.4,51.4
31,"AZE","Azerbaijan",47.9,47.9,47.9,47.9,47.9,47.9,47.8,47.8,47.9,47.9,48,48.1,48.2,48.3,48.4,48.4,48.4,48.4,48.4,48.4,48.3,48,47.9,47.8,47.6,47.5,47.3,47.2,47.2,47.2
44,"BHS","Bahamas",50,50,50,50,50,50,50,50,50,50,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50,50,50,50,50,50,50.1,50.1,50.1,50.1,50.1,50.1,50.1
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",47.5,47.5,47.5,47.5,47.5,47.7,47.7,47.5,47.5,47.5,47.5,47.8,48,48.3,48.5,48.7,48.8,48.7,48.7,48.6,48.2,48,47.8,47.6,47.2,46.7,46.3,46.1,46.1,46.1
52,"BRB","Barbados",49.6,49.6,49.6,49.6,49.6,49.7,50.1,50.3,50.9,51.2,51.5,51.7,51.9,51.8,52.1,52.6,53.1,53.9,54.6,55.7,57.2,58.5,59.9,61.7,63,64.2,65.4,66.4,66.4,66.4
